Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2023-03-06 14:33 (-06),On Demand,Matty Maggiacomo,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-02-27 08:30 (-06),,,,,,,64,132.23,,
2023-03-06 14:39 (-06),On Demand,Jermaine Johnson,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-02-22 04:59 (-06),,,,,,,62,128.84,,
2023-03-07 07:25 (-06),On Demand,Kirra Michel,30,Yoga,Slow Flow,30 min Slow Flow,2023-03-04 09:25 (-06),,,,,,,146,,,
2023-03-08 13:15 (-06),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-04-23 01:56 (-06),398,148,44%,82,18.76,14.07,609,136.58,,
2023-03-08 14:02 (-06),On Demand,Marcel Maurer,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-03-04 02:00 (-06),,,,,,,97,112.33,,
2023-03-11 12:45 (-06),On Demand,Olivia Amato,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-04-23 07:00 (-06),545,151,42%,88,19.04,19.03,917,147.81,,
2023-03-11 13:46 (-06),On Demand,Alex Toussaint,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-11-28 10:00 (-06),24,80,38%,72,14.64,1.22,67,136.37,,
2023-03-11 13:53 (-06),On Demand,Adrian Williams,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-03-02 01:00 (-06),,,,,,,53,117.83,,
2023-03-13 14:13 (-05),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Ride,2021-04-23 02:30 (-05),446,165,42%,92,19.40,14.55,683,147.04,,
2023-03-13 14:59 (-05),On Demand,Ally Love,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2023-02-24 11:00 (-05),29,96,38%,78,15.86,1.32,63,130.68,,
2023-03-13 15:04 (-05),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-03-09 04:00 (-05),,,,,,,65,132.73,,
2023-03-14 20:48 (CDT),On Demand,Rad Lopez,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-03-08 09:00 (CDT),,,,,,,71,84.68,,
2023-03-15 12:44 (-05),On Demand,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Ride,2021-04-23 08:00 (-05),428,159,44%,85,19.31,14.48,609,136.70,,
2023-03-15 13:29 (-05),On Demand,Hannah Frankson,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-07-16 02:30 (-05),28,93,33%,93,15.68,1.30,67,135.90,,
2023-03-15 13:34 (-05),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-09-05 01:00 (-05),,,,,,,62,129.96,,
